Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover,No. of Trades  
KAYNES,EQ,05-Mar-24,"3,104.25","3,134.00","3,248.85","3,080.50","3,210.00","3,215.00","3,179.73","5,83,625","1,85,57,71,542.60","51,942"
KAYNES,EQ,04-Mar-24,"3,008.95","3,042.65","3,115.00","3,012.20","3,100.00","3,104.25","3,068.09","3,50,606","1,07,56,91,159.80","30,339"
KAYNES,EQ,02-Mar-24,"2,945.50","2,985.00","3,060.00","2,965.65","3,020.00","3,008.95","2,998.02","11,345","3,40,12,522.65","1,780"
KAYNES,EQ,01-Mar-24,"2,955.65","3,040.00","3,070.00","2,930.00","2,950.00","2,945.50","3,009.09","1,86,755","56,19,63,190.45","18,727"
KAYNES,EQ,29-Feb-24,"2,899.40","2,880.05","3,050.00","2,843.05","3,038.10","2,955.65","2,908.18","5,04,707","1,46,77,76,787.75","36,990"
KAYNES,EQ,28-Feb-24,"2,936.45","2,949.45","2,971.45","2,846.05","2,853.00","2,899.40","2,902.37","2,52,808","73,37,41,104.70","26,546"
KAYNES,EQ,27-Feb-24,"2,874.05","2,888.95","2,953.45","2,867.60","2,941.00","2,936.45","2,925.55","1,18,140","34,56,25,036.20","15,772"
KAYNES,EQ,26-Feb-24,"2,854.35","2,849.05","3,080.00","2,831.55","2,888.70","2,874.05","2,964.18","4,67,089","1,38,45,35,946.95","47,237"
KAYNES,EQ,23-Feb-24,"2,865.35","2,894.90","2,930.00","2,820.00","2,838.80","2,854.35","2,892.96","1,79,120","51,81,86,690.25","18,416"
KAYNES,EQ,22-Feb-24,"2,811.05","2,860.00","2,890.00","2,791.60","2,873.00","2,865.35","2,848.91","1,32,917","37,86,68,970.75","20,796"
KAYNES,EQ,21-Feb-24,"2,778.20","2,807.00","2,845.00","2,717.75","2,837.80","2,811.05","2,801.23","3,15,446","88,36,36,567.10","27,819"
KAYNES,EQ,20-Feb-24,"2,860.70","2,878.00","2,904.80","2,750.00","2,776.20","2,778.20","2,816.21","1,04,384","29,39,67,691.75","19,055"
KAYNES,EQ,19-Feb-24,"2,795.50","2,881.35","2,924.80","2,827.05","2,874.00","2,860.70","2,863.18","1,09,109","31,23,98,378.80","21,316"
KAYNES,EQ,16-Feb-24,"2,773.05","2,782.00","2,906.50","2,775.00","2,796.00","2,795.50","2,841.09","1,56,494","44,46,13,978.80","24,072"
KAYNES,EQ,15-Feb-24,"2,842.45","2,853.10","2,889.80","2,764.75","2,777.05","2,773.05","2,824.73","1,67,349","47,27,15,176.95","19,245"
KAYNES,EQ,14-Feb-24,"2,905.40","2,896.00","2,896.00","2,830.00","2,840.00","2,842.45","2,851.54","95,189","27,14,35,497.60","15,835"
KAYNES,EQ,13-Feb-24,"2,865.40","2,848.05","2,927.50","2,555.50","2,900.00","2,905.40","2,782.56","2,15,259","59,89,70,807.90","37,209"
KAYNES,EQ,12-Feb-24,"2,903.35","2,950.00","2,950.00","2,848.00","2,850.00","2,865.40","2,899.45","85,573","24,81,14,423.90","12,797"
KAYNES,EQ,09-Feb-24,"2,924.65","2,950.00","2,973.35","2,831.05","2,896.90","2,903.35","2,891.44","88,537","25,59,99,816.70","13,127"
KAYNES,EQ,08-Feb-24,"2,881.45","2,930.00","2,939.90","2,900.05","2,929.00","2,924.65","2,917.73","2,06,876","60,36,08,900.20","13,538"
KAYNES,EQ,07-Feb-24,"2,835.45","2,879.20","2,930.00","2,840.35","2,879.00","2,881.45","2,888.53","1,98,726","57,40,26,335.75","23,304"
KAYNES,EQ,06-Feb-24,"2,883.45","2,901.00","2,908.80","2,820.10","2,838.00","2,835.45","2,865.02","1,08,271","31,01,98,410.90","23,561"
KAYNES,EQ,05-Feb-24,"2,907.25","2,978.00","2,978.00","2,840.10","2,874.70","2,883.45","2,889.26","1,06,183","30,67,90,190.00","22,776"
KAYNES,EQ,02-Feb-24,"2,813.95","2,850.00","2,930.00","2,800.55","2,920.00","2,907.25","2,852.41","1,32,452","37,78,07,148.65","31,167"
KAYNES,EQ,01-Feb-24,"2,831.30","2,890.00","2,900.00","2,790.05","2,804.90","2,813.95","2,813.89","1,59,593","44,90,76,467.45","20,681"
KAYNES,EQ,31-Jan-24,"2,827.95","2,985.00","2,990.00","2,781.00","2,830.20","2,831.30","2,862.83","3,42,056","97,92,48,971.85","47,223"
KAYNES,EQ,30-Jan-24,"2,887.30","2,908.10","2,950.90","2,773.20","2,824.00","2,827.95","2,886.74","1,22,591","35,38,88,890.90","27,886"
KAYNES,EQ,29-Jan-24,"2,878.45","2,890.00","2,900.00","2,856.95","2,890.00","2,887.30","2,884.32","64,421","18,58,10,885.60","9,962"
